Long,Lat,DET_ana_Type,***Performance_Based***,PB_ana_Type,PB_Return_P.,PB_Cetin_Uncorr_Strain,Cetin_percent,PB_IandY_Uncorr_Strain,IandY_percent,PB_Cetin_Equiv_Strain,PB_IandY_Equiv_Strain,PB_Seismic_Slope_Disp_RandS,PB_Seismic_Slope_Disp_BandT
-111.594,39.388,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.691673593
-111.501,39.388,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.663426208
-111.408,39.388,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.629017662
-111.222,39.389,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.5
-111.13,39.389,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.5
-111.037,39.389,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.5
-110.944,39.389,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.5
-110.851,39.389,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.5
-110.758,39.389,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.5
-110.665,39.389,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.5
-110.572,39.388,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.5
-110.479,39.388,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.5
-110.386,39.388,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.5
-110.294,39.387,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.5
-110.201,39.386,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.5
-112.524,39.451,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.5
-112.431,39.452,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.5
-112.338,39.454,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.5
-112.246,39.455,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.5
-112.153,39.456,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.521619103
-112.06,39.456,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.626946549
-111.874,39.458,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.766584036
-111.781,39.459,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.752514012
-111.688,39.459,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.704171844
-111.595,39.46,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.662323423
-111.502,39.46,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.63719399
-111.409,39.461,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.592541252
-111.316,39.461,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.533938729
