Longitude,Latitude,DET_ana_Type,***Performance_Based***,PB_amax,PB_Mw,PB_FSliq_Cetin,PB_FSliq_IandB,PB_FSliq_Juang,PB_Nreq_Cetin,PB_Nreq_IandB,PB_Nreq_Juang,PB_ana_Type,PB_Return_P.,PB_CSR%
-113.625,37.086,Mean,***|,N/A,N/A,1.751,1.922,N/A,10.069,6.587,N/A,N/A,1033,10.89
-113.402,37.086,Mean,***|,N/A,N/A,1.522,1.674,N/A,12.006,8.785,N/A,N/A,1033,12.501
-113.178,37.086,Mean,***|,N/A,N/A,1.59,1.755,N/A,11.409,8.009,N/A,N/A,1033,11.918
-112.955,37.086,Mean,***|,N/A,N/A,1.715,1.891,N/A,10.36,6.841,N/A,N/A,1033,11.07
-112.731,37.086,Mean,***|,N/A,N/A,1.774,1.953,N/A,9.89,6.339,N/A,N/A,1033,10.716
-112.508,37.086,Mean,***|,N/A,N/A,1.957,2.151,N/A,8.545,4.874,N/A,N/A,1033,9.727
-114.072,37.268,Mean,***|,N/A,N/A,1.874,2.052,N/A,9.137,5.588,N/A,N/A,1033,10.201
-113.848,37.268,Mean,***|,N/A,N/A,1.868,2.049,N/A,9.181,5.612,N/A,N/A,1033,10.218
-113.625,37.268,Mean,***|,N/A,N/A,1.69,1.858,N/A,10.566,7.111,N/A,N/A,1033,11.262
-113.402,37.268,Mean,***|,N/A,N/A,1.417,1.561,N/A,12.989,9.951,N/A,N/A,1033,13.407
-113.178,37.268,Mean,***|,N/A,N/A,1.46,1.611,N/A,12.581,9.424,N/A,N/A,1033,12.993
-112.955,37.268,Mean,***|,N/A,N/A,1.547,1.71,N/A,11.786,8.44,N/A,N/A,1033,12.24
-112.731,37.268,Mean,***|,N/A,N/A,1.557,1.719,N/A,11.697,8.353,N/A,N/A,1033,12.174
-112.508,37.268,Mean,***|,N/A,N/A,1.722,1.898,N/A,10.311,6.783,N/A,N/A,1033,11.028
-112.285,37.268,Mean,***|,N/A,N/A,2.03,2.23,N/A,8.032,4.347,N/A,N/A,1033,9.386
-114.072,37.449,Mean,***|,N/A,N/A,1.884,2.063,N/A,9.06,5.512,N/A,N/A,1033,10.15
-113.848,37.449,Mean,***|,N/A,N/A,1.881,2.062,N/A,9.081,5.513,N/A,N/A,1033,10.151
-113.625,37.449,Mean,***|,N/A,N/A,1.678,1.842,N/A,10.662,7.251,N/A,N/A,1033,11.363
-113.402,37.449,Mean,***|,N/A,N/A,1.432,1.575,N/A,12.846,9.796,N/A,N/A,1033,13.284
-113.178,37.449,Mean,***|,N/A,N/A,1.338,1.479,N/A,13.782,10.88,N/A,N/A,1033,14.153
-112.955,37.449,Mean,***|,N/A,N/A,1.419,1.574,N/A,12.971,9.808,N/A,N/A,1033,13.294
-112.731,37.449,Mean,***|,N/A,N/A,1.387,1.54,N/A,13.291,10.184,N/A,N/A,1033,13.592
-112.508,37.449,Mean,***|,N/A,N/A,1.445,1.597,N/A,12.73,9.568,N/A,N/A,1033,13.105
-112.285,37.449,Mean,***|,N/A,N/A,1.756,1.933,N/A,10.032,6.505,N/A,N/A,1033,10.832
-112.061,37.449,Mean,***|,N/A,N/A,2.09,2.291,N/A,7.638,3.943,N/A,N/A,1033,9.131
-114.072,37.631,Mean,***|,N/A,N/A,1.984,2.173,N/A,8.352,4.733,N/A,N/A,1033,9.635
-113.848,37.631,Mean,***|,N/A,N/A,1.943,2.132,N/A,8.64,5.003,N/A,N/A,1033,9.811
-113.625,37.631,Mean,***|,N/A,N/A,1.748,1.921,N/A,10.096,6.594,N/A,N/A,1033,10.895
-113.402,37.631,Mean,***|,N/A,N/A,1.482,1.633,N/A,12.38,9.198,N/A,N/A,1033,12.818
-113.178,37.631,Mean,***|,N/A,N/A,1.272,1.407,N/A,14.49,11.75,N/A,N/A,1033,14.873
-112.955,37.631,Mean,***|,N/A,N/A,1.208,1.345,N/A,15.191,12.552,N/A,N/A,1033,15.557
-112.731,37.631,Mean,***|,N/A,N/A,1.265,1.408,N/A,14.566,11.738,N/A,N/A,1033,14.863
-112.508,37.631,Mean,***|,N/A,N/A,1.265,1.404,N/A,14.567,11.786,N/A,N/A,1033,14.904
-112.285,37.631,Mean,***|,N/A,N/A,1.51,1.665,N/A,12.117,8.873,N/A,N/A,1033,12.568
-112.061,37.631,Mean,***|,N/A,N/A,1.837,2.018,N/A,9.417,5.84,N/A,N/A,1033,10.372
-111.838,37.631,Mean,***|,N/A,N/A,2.09,2.277,N/A,7.639,4.032,N/A,N/A,1033,9.187
-111.614,37.631,Mean,***|,N/A,N/A,2.352,2.542,N/A,6,2.455,N/A,N/A,1033,8.237
-114.072,37.812,Mean,***|,N/A,N/A,2.161,2.365,N/A,7.173,3.488,N/A,N/A,1033,8.85
-113.848,37.812,Mean,***|,N/A,N/A,2.095,2.296,N/A,7.607,3.913,N/A,N/A,1033,9.113
-113.625,37.812,Mean,***|,N/A,N/A,1.882,2.065,N/A,9.081,5.496,N/A,N/A,1033,10.139
-113.402,37.812,Mean,***|,N/A,N/A,1.602,1.765,N/A,11.304,7.922,N/A,N/A,1033,11.853
-113.178,37.812,Mean,***|,N/A,N/A,1.274,1.412,N/A,14.467,11.689,N/A,N/A,1033,14.822
-112.508,37.812,Mean,***|,N/A,N/A,1.169,1.299,N/A,15.649,13.184,N/A,N/A,1033,16.109
-112.285,37.812,Mean,***|,N/A,N/A,1.35,1.489,N/A,13.669,10.758,N/A,N/A,1033,14.054
-112.061,37.812,Mean,***|,N/A,N/A,1.63,1.789,N/A,11.063,7.715,N/A,N/A,1033,11.701
-111.838,37.812,Mean,***|,N/A,N/A,1.903,2.074,N/A,8.925,5.428,N/A,N/A,1033,10.094
-111.614,37.812,Mean,***|,N/A,N/A,2.139,2.313,N/A,7.317,3.809,N/A,N/A,1033,9.048
-111.391,37.812,Mean,***|,N/A,N/A,2.454,2.635,N/A,5.426,1.933,N/A,N/A,1033,7.941
-113.625,37.994,Mean,***|,N/A,N/A,2.019,2.215,N/A,8.108,4.451,N/A,N/A,1033,9.453
-113.402,37.994,Mean,***|,N/A,N/A,1.722,1.894,N/A,10.305,6.817,N/A,N/A,1033,11.053
-113.178,37.994,Mean,***|,N/A,N/A,1.424,1.572,N/A,12.922,9.832,N/A,N/A,1033,13.313
-112.508,37.994,Mean,***|,N/A,N/A,1.132,1.255,N/A,16.093,13.809,N/A,N/A,1033,16.669
-112.285,37.994,Mean,***|,N/A,N/A,1.315,1.449,N/A,14.018,11.236,N/A,N/A,1033,14.445
-112.061,37.994,Mean,***|,N/A,N/A,1.49,1.636,N/A,12.304,9.167,N/A,N/A,1033,12.794
-111.838,37.994,Mean,***|,N/A,N/A,1.701,1.858,N/A,10.476,7.115,N/A,N/A,1033,11.265
-111.614,37.994,Mean,***|,N/A,N/A,1.918,2.077,N/A,8.818,5.41,N/A,N/A,1033,10.082
-111.391,37.994,Mean,***|,N/A,N/A,2.214,2.383,N/A,6.842,3.383,N/A,N/A,1033,8.786
-111.168,37.994,Mean,***|,N/A,N/A,2.522,2.691,N/A,5.039,1.643,N/A,N/A,1033,7.78
-113.402,38.175,Mean,***|,N/A,N/A,1.915,2.1,N/A,8.842,5.239,N/A,N/A,1033,9.967
-113.178,38.175,Mean,***|,N/A,N/A,1.612,1.773,N/A,11.219,7.853,N/A,N/A,1033,11.802
-112.955,38.175,Mean,***|,N/A,N/A,1.321,1.459,N/A,13.96,11.11,N/A,N/A,1033,14.342
-112.731,38.175,Mean,***|,N/A,N/A,1.212,1.341,N/A,15.15,12.615,N/A,N/A,1033,15.611
-112.508,38.175,Mean,***|,N/A,N/A,1.226,1.355,N/A,14.98,12.43,N/A,N/A,1033,15.451
-112.285,38.175,Mean,***|,N/A,N/A,1.293,1.424,N/A,14.259,11.545,N/A,N/A,1033,14.702
