Lon,Lat,D (m)
-112.279,40.736,1.53461
-112.165,40.736,1.51572
-112.05,40.736,1.06872
-111.935,40.736,3.26108
-111.821,40.736,2.48592
-111.706,40.736,0.96481
-111.591,40.736,0.5376
-111.477,40.736,0.32534
-111.133,40.736,0.15296
-111.018,40.736,0.1825
-110.903,40.736,0.26821
-110.789,40.736,0.32012
-110.674,40.736,0.22079
-110.559,40.736,0.12325
-112.738,40.824,0.27945
-112.623,40.824,0.36214
-112.509,40.824,0.45727
-112.394,40.824,0.66453
-112.279,40.824,1.32049
-112.165,40.824,2.48915
-112.05,40.824,1.32069
-111.935,40.824,4.45497
-111.821,40.824,2.35914
-111.706,40.824,0.99256
-111.591,40.824,0.48172
-111.247,40.824,0.15348
-111.133,40.824,0.17052
-111.018,40.824,0.3162
-110.903,40.824,0.61023
-110.789,40.824,1.27432
-110.674,40.824,0.42867
-110.559,40.824,0.17439
-112.738,40.912,0.27252
-112.623,40.912,0.37169
-112.509,40.912,0.52992
-112.394,40.912,0.97177
-112.279,40.912,2.9247
-112.165,40.912,1.08587
-112.05,40.912,1.22142
-111.935,40.912,2.69124
-111.821,40.912,2.73054
-111.706,40.912,0.94068
-111.591,40.912,0.44858
-111.247,40.912,0.15434
-111.133,40.912,0.2315
-111.018,40.912,0.35462
-110.903,40.912,0.90297
-110.789,40.912,3.67325
-110.674,40.912,0.52426
-110.559,40.912,0.19116
-112.853,41,0.21678
-112.738,41,0.31039
-112.623,41,0.45059
-112.509,41,0.73041
-112.394,41,1.60202
-112.279,41,3.91669
-112.165,41,1.04523
-112.05,41,1.19111
-111.935,41,3.25474
-111.821,41,2.20166
-111.706,41,0.78987
-111.591,41,0.39613
-111.247,41,0.1474
-111.133,41,0.19557
-111.018,41,0.36024
-110.903,41,0.92612
-110.789,41,4.072
-110.674,41,0.55936
-110.559,41,0.19799
-112.968,41.088,0.16606
-112.853,41.088,0.2827
-112.738,41.088,0.40367
-112.623,41.088,0.67877
-112.509,41.088,1.06986
-112.394,41.088,2.39474
-112.279,41.088,1.21595
-112.165,41.088,0.8336
-112.05,41.088,1.23497
-111.935,41.088,3.92983
-111.821,41.088,1.58582
-111.706,41.088,0.66996
-111.591,41.088,0.34905
-111.247,41.088,0.14442
-111.133,41.088,0.19207
-111.018,41.088,0.34584
-112.968,41.177,0.20201
-112.853,41.177,0.3008
-112.738,41.177,0.52243
-112.623,41.177,1.11931
-112.509,41.177,3.96786
-112.394,41.177,2.04957
-112.279,41.177,0.83022
-112.165,41.177,0.83913
-112.05,41.177,1.5563
-111.935,41.177,5.3585
-111.821,41.177,1.42095
-111.706,41.177,0.66746
-111.591,41.177,0.36113
-111.247,41.177,0.14544
-111.133,41.177,0.17584
