Long,Lat,DET_ana_Type,***Performance_Based***,PB_ana_Type,PB_Return_P.,PB_Cetin_Uncorr_Strain,Cetin_percent,PB_IandY_Uncorr_Strain,IandY_percent,PB_Cetin_Equiv_Strain,PB_IandY_Equiv_Strain,PB_Seismic_Slope_Disp_RandS,PB_Seismic_Slope_Disp_BandT
-111.593,39.243,Mean,***|,N/A,1033,0.001075463,0.107546261,0,0,0.001075463,0,0.734288928,2.203590819
-111.5,39.244,Mean,***|,N/A,1033,0.001005102,0.10051021,0,0,0.001005102,0,0.786840145,2.283725109
-111.407,39.244,Mean,***|,N/A,1033,0.001045245,0.104524473,0,0,0.001045245,0,0.807423807,2.330265116
-111.315,39.245,Mean,***|,N/A,1033,0.001222095,0.122209532,0,0,0.001222095,0,0.759870746,2.266185853
-111.222,39.245,Mean,***|,N/A,1033,0.001783761,0.178376109,0,0,0.001783761,0,0.572792185,1.965044248
-111.129,39.245,Mean,***|,N/A,1033,0,0,0,0,0,0,0.5,1.673214865
-111.037,39.245,Mean,***|,N/A,1033,0,0,0,0,0,0,0.5,1.391046797
-110.944,39.245,Mean,***|,N/A,1033,0,0,0,0,0,0,0.5,1.166989157
-110.851,39.245,Mean,***|,N/A,1033,0,0,0,0,0,0,0.5,0.979189776
-110.758,39.245,Mean,***|,N/A,1033,0,0,0,0,0,0,0.5,0.838960773
-110.666,39.244,Mean,***|,N/A,1033,0,0,0,0,0,0,0.5,0.717305944
-110.573,39.244,Mean,***|,N/A,1033,0,0,0,0,0,0,0.5,0.610358076
-110.48,39.244,Mean,***|,N/A,1033,0,0,0,0,0,0,0.5,0.530938129
-110.388,39.243,Mean,***|,N/A,1033,0,0,0,0,0,0,0.5,0.5
-110.295,39.243,Mean,***|,N/A,1033,0,0,0,0,0,0,0.5,0.5
-110.202,39.242,Mean,***|,N/A,1033,0,0,0,0,0,0,0.5,0.5
-112.614,39.306,Mean,***|,N/A,1033,0,0,0,0,0,0,0.5,0.605946762
-112.521,39.307,Mean,***|,N/A,1033,0,0,0,0,0,0,0.5,0.762578812
-112.428,39.308,Mean,***|,N/A,1033,0,0,0,0,0,0,0.5,0.908574128
-112.336,39.309,Mean,***|,N/A,1033,0,0,0,0,0,0,0.5,1.111709714
-112.243,39.31,Mean,***|,N/A,1033,0,0,0,0,0,0,0.5,1.349233291
-112.15,39.311,Mean,***|,N/A,1033,0.001928436,0.192843614,0,0,0.001928436,0,0.5,1.647283611
-112.057,39.312,Mean,***|,N/A,1033,0.001367548,0.136754768,0,0,0.001367548,0,0.57558744,1.925399458
-111.965,39.313,Mean,***|,N/A,1033,0.001021671,0.1021671,0,0,0.001021671,0,0.727403239,2.156165447
-111.872,39.314,Mean,***|,N/A,1033,0.002637297,0.263729687,0,0,0.002637297,0,0.836092391,2.325741051
-111.779,39.314,Mean,***|,N/A,1033,0.002749472,0.274947201,0,0,0.002749472,0,0.784771811,2.249582913
-111.686,39.315,Mean,***|,N/A,1033,0.002946586,0.294658585,0,0,0.002946586,0,0.725653572,2.171753833
-111.593,39.316,Mean,***|,N/A,1033,0.001043584,0.104358446,0,0,0.001043584,0,0.714470782,2.155917486
-111.501,39.316,Mean,***|,N/A,1033,0.002935937,0.293593651,0,0,0.002935937,0,0.786632066,2.263341796
-111.408,39.316,Mean,***|,N/A,1033,0.000999026,0.099902593,0,0,0.000999026,0,0.812679209,2.320051691
-111.222,39.317,Mean,***|,N/A,1033,0.001748599,0.174859855,0,0,0.001748599,0,0.571410587,1.958421219
-111.129,39.317,Mean,***|,N/A,1033,0,0,0,0,0,0,0.5,1.647129524
-111.037,39.317,Mean,***|,N/A,1033,0,0,0,0,0,0,0.5,1.356949061
-110.944,39.317,Mean,***|,N/A,1033,0,0,0,0,0,0,0.5,1.136599605
